n,p,q,condition,lu_pivot_error,lu_pivot_forward_error,lu_pivot_backward_error,lu_pivot_forward_time,lu_pivot_backward_time,lu_pivot_flops,recursive_lu_forward_error,recursive_lu_backward_error,recursive_lu_forward_time,recursive_lu_backward_time,recursive_lu_flops,block_lu_forward_error,block_lu_backward_error,block_lu_forward_time,block_lu_backward_time,block_lu_flops
16,1,1,248.157995,3.5699e-17,5.5511e-17,7.9286e-16,0.023242,0.0087719,3690.67,1.5553e-15,4.9979e-16,0.017907,0.00012898,3690.67,1.8411e-15,3.5108e-16,0.015399,0.00029898,3690.67
16,2,1,86.812667,1.1311e-16,3.3795e-16,6.8664e-16,0.0037611,0.00030494,3690.67,1.054e-15,7.6176e-16,0.0017378,0.00028992,3690.67,1.4098e-15,8.8296e-16,0.004576,0.00014305,3690.67
16,3,4,71.879637,2.538e-16,2.4825e-16,4.5097e-16,0.0040059,0.00029707,3690.67,4.3313e-15,4.9598e-13,0.001693,0.00028896,3690.67,6.4079e-16,5.9808e-15,0.008364,0.00027204,3690.67
16,4,4,173.735932,3.1233e-16,4.3356e-16,2.4974e-15,0.0035219,0.00026798,3690.67,6.0619e-16,1.9722e-14,0.001184,0.00018907,3690.67,7.7567e-16,5.2572e-15,0.0089359,0.00029707,3690.67
16,8,8,91.347701,6.7373e-16,3.6822e-16,6.9555e-16,0.002754,0.00013494,3690.67,9.4532e-16,4.4888e-14,0.0018659,0.00029302,3690.67,9.2222e-16,4.4561e-15,0.008707,0.00028896,3690.67
64,1,1,169.274823,1.1584e-16,2.5438e-16,3.3985e-15,0.026607,0.00068092,190891.0,1.2099e-15,0.9586,0.024382,0.002646,190891.0,1.8528e-15,1.1498e-15,0.3694,0.00064611,190891.0
64,2,1,1864.206661,2.4692e-16,3.6109e-16,2.7601e-15,0.028189,0.00059199,190891.0,4.0546e-15,6.6376e-15,0.028402,0.0013931,190891.0,4.0608e-14,1.3198e-15,0.3642,0.00052905,190891.0
64,3,4,365.252368,3.3659e-16,5.2074e-16,1.2291e-15,0.026307,0.00060701,190891.0,1.0051e-15,3.0354,0.036625,0.00126,190891.0,1.3012e-14,2.3306e-13,0.3498,0.00085402,190891.0
64,16,16,4568.761008,1.8123e-15,1.5772e-15,5.6162e-14,0.029115,0.00057006,190891.0,5.0855e-13,1.9442e-10,0.02954,0.002064,190891.0,2.1081e-14,1.7269e-13,0.3941,0.00052714,190891.0
64,32,32,30947.573327,3.2259e-15,1.9542e-15,4.6054e-14,0.024301,0.00053406,190891.0,4.8548e-14,1.2572e-11,0.026497,0.0011899,190891.0,2.3653e-14,1.8681e-13,0.3348,0.00051117,190891.0
128,1,1,15381.330835,1.1102e-16,3.1889e-16,1.1214e-13,-0.778,0.0011859,1463130.0,5.3036e-15,3293.3,0.021297,0.0026011,1463130.0,7.3788e-14,2.2425e-14,2.0391,0.00096893,1463130.0
128,2,1,4126488.721031,2.833e-16,4.8473e-16,1.0854e-11,0.2156,0.001544,1463130.0,4.3822e-14,3.9418e-14,0.2458,0.003185,1463130.0,2.9796e-11,1.3027e-14,2.6902,0.00099611,1463130.0
128,3,4,981.592627,4.4378e-16,6.4978e-16,1.106e-14,0.1794,0.001159,1463130.0,6.7529e-15,5.5361e+32,0.032898,0.0018129,1463130.0,1.3176e-14,4.42e-14,1.958,0.00089502,1463130.0
128,32,32,5611.468602,3.9272e-15,3.0063e-15,3.031e-14,0.1875,0.0012529,1463130.0,5.5086e-14,1.7819e-06,0.048359,0.003484,1463130.0,1.9758e-13,2.0404e-12,2.0476,0.0009129,1463130.0
128,64,64,29848.299957,7.693e-15,4.2661e-15,3.7902e-14,0.2055,0.001323,1463130.0,9.6278e-14,6.491e-15,0.038569,0.0048659,1463130.0,3.2793e-13,1.6239e-12,1.9499,0.00094414,1463130.0
256,1,1,9644.051064,1.2891e-16,5.2369e-16,9.8971e-14,0.5402,0.002106,11445900.0,3.2297e-15,693060000.0,0.097885,0.008265,11445900.0,2.1433e-14,1.2901e-13,17.284,0.0030899,11445900.0
256,2,1,4259.027902,2.2493e-16,6.7418e-16,2.6883e-14,0.5343,0.003201,11445900.0,4.1328e-15,2.8455e-13,0.056379,0.0059559,11445900.0,2.6968e-14,1.5531e-14,16.164,0.0025001,11445900.0
256,3,4,516692.354729,4.9705e-16,1.1009e-15,1.0029e-11,0.569,0.002492,11445900.0,2.7657e-15,1.5847e+53,0.1044,0.026408,11445900.0,3.4693e-13,7.0632e-10,14.995,0.001776,11445900.0
256,64,64,2366.631408,9.0965e-15,6.5032e-15,3.2883e-14,0.5064,0.001811,11445900.0,1.3894e-12,4.8666e-09,0.03759,0.010033,11445900.0,7.1465e-13,9.8045e-12,15.083,0.001987,11445900.0
256,128,128,11318.190856,2.1215e-14,1.0821e-14,4.3487e-14,0.5171,0.0019209,11445900.0,1.4903e-09,2.9237e-11,0.07002,0.006978,11445900.0,1.6187e-11,2.3528e-11,14.199,0.001775,11445900.0
512,1,1,51047.255498,1.5701e-16,6.9086e-16,1.2816e-13,1.9893,0.0045819,90525000.0,1.0503e-14,9.5015e+35,0.1356,0.013124,90525000.0,8.8651e-13,3.6896e-14,118.86,0.0048189,90525000.0
512,2,1,72059472552.8336,2.2899e-16,8.1126e-16,3.3684e-07,2.1451,0.0057831,90525000.0,5.6549e-14,2.9058e-13,0.1141,0.0088282,90525000.0,2.2739e-07,4.993e-14,113.28,0.0049469,90525000.0
512,3,4,149968.738577,5.2994e-16,1.3099e-15,1.6497e-12,1.8654,0.003998,90525000.0,8.6286e-14,1.3339e+182,0.1575,0.0090759,90525000.0,4.5025e-14,1.6064e-11,109.73,0.0043039,90525000.0
512,128,128,4434697.736344,2.3513e-14,2.1925e-14,6.4201e-12,1.8788,0.004365,90525000.0,3.2247e-09,3.3766e-05,0.071723,0.0089769,90525000.0,1.0644e-11,3.9018e-10,115.32,0.0041242,90525000.0
512,256,256,236538.925263,5.0129e-14,3.2913e-14,1.1799e-13,1.844,0.003788,90525000.0,1.0885e-08,2.5413e-09,0.129,0.011737,90525000.0,1.1557e-11,2.8383e-10,109.42,0.0042059,90525000.0
1000,1,1,49037.617845,1.5721e-16,1.2345e-15,3.3339e-13,5.7655,0.008456,670663000.0,1.2772e-14,2.1884e+45,0.2308,0.020195,670663000.0,1.574e-13,5.4145e-12,827.93,0.01262,670663000.0
1000,2,1,16668365.251362,2.8935e-16,1.2922e-15,1.0086e-10,6.5792,0.0080421,670663000.0,1.5037e-13,6.4108e-10,0.2805,0.01892,670663000.0,3.8938e-10,1.2433e-13,838.91,0.008522,670663000.0
1000,3,4,6090022.300817,5.2661e-16,2.4379e-15,3.1209e-12,6.6693,0.007544,670663000.0,6.826e-13,0.0001498,0.3055,0.028384,670663000.0,9.6538e-12,3.7392e-10,797.42,0.0079961,670663000.0
1000,500,500,34509.95973,1.3627e-13,8.3474e-14,2.8828e-13,6.0832,0.0068519,670663000.0,2.2721e-10,2.5202e-10,0.1426,0.020804,670663000.0,1.8373e-11,2.4009e-10,755.98,0.010317,670663000.0
