n,p,q,lu_pivot_flops,recursive_lu_flops,block_lu_flops,lu_pivot_forward_error,lu_pivot_backward_error,recursive_lu_forward_error,recursive_lu_backward_error,block_lu_forward_error,block_lu_backward_error
16,1,1,3690.67,3690.67,3690.67,5.5511e-17,7.9286e-16,1.5553e-15,4.9979e-16,1.8411e-15,3.5108e-16
16,2,1,3690.67,3690.67,3690.67,3.3795e-16,6.8664e-16,1.054e-15,7.6176e-16,1.4098e-15,8.8296e-16
16,3,4,3690.67,3690.67,3690.67,2.4825e-16,4.5097e-16,4.3313e-15,4.9598e-13,6.4079e-16,5.9808e-15
16,4,4,3690.67,3690.67,3690.67,4.3356e-16,2.4974e-15,6.0619e-16,1.9722e-14,7.7567e-16,5.2572e-15
16,8,8,3690.67,3690.67,3690.67,3.6822e-16,6.9555e-16,9.4532e-16,4.4888e-14,9.2222e-16,4.4561e-15
64,1,1,190891.0,190891.0,190891.0,2.5438e-16,3.3985e-15,1.2099e-15,0.9586,1.8528e-15,1.1498e-15
64,2,1,190891.0,190891.0,190891.0,3.6109e-16,2.7601e-15,4.0546e-15,6.6376e-15,4.0608e-14,1.3198e-15
64,3,4,190891.0,190891.0,190891.0,5.2074e-16,1.2291e-15,1.0051e-15,3.0354,1.3012e-14,2.3306e-13
64,16,16,190891.0,190891.0,190891.0,1.5772e-15,5.6162e-14,5.0855e-13,1.9442e-10,2.1081e-14,1.7269e-13
64,32,32,190891.0,190891.0,190891.0,1.9542e-15,4.6054e-14,4.8548e-14,1.2572e-11,2.3653e-14,1.8681e-13
128,1,1,1463130.0,1463130.0,1463130.0,3.1889e-16,1.1214e-13,5.3036e-15,3293.3,7.3788e-14,2.2425e-14
128,2,1,1463130.0,1463130.0,1463130.0,4.8473e-16,1.0854e-11,4.3822e-14,3.9418e-14,2.9796e-11,1.3027e-14
128,3,4,1463130.0,1463130.0,1463130.0,6.4978e-16,1.106e-14,6.7529e-15,5.5361e+32,1.3176e-14,4.42e-14
128,32,32,1463130.0,1463130.0,1463130.0,3.0063e-15,3.031e-14,5.5086e-14,1.7819e-06,1.9758e-13,2.0404e-12
128,64,64,1463130.0,1463130.0,1463130.0,4.2661e-15,3.7902e-14,9.6278e-14,6.491e-15,3.2793e-13,1.6239e-12
256,1,1,11445900.0,11445900.0,11445900.0,5.2369e-16,9.8971e-14,3.2297e-15,693060000.0,2.1433e-14,1.2901e-13
256,2,1,11445900.0,11445900.0,11445900.0,6.7418e-16,2.6883e-14,4.1328e-15,2.8455e-13,2.6968e-14,1.5531e-14
256,3,4,11445900.0,11445900.0,11445900.0,1.1009e-15,1.0029e-11,2.7657e-15,1.5847e+53,3.4693e-13,7.0632e-10
256,64,64,11445900.0,11445900.0,11445900.0,6.5032e-15,3.2883e-14,1.3894e-12,4.8666e-09,7.1465e-13,9.8045e-12
256,128,128,11445900.0,11445900.0,11445900.0,1.0821e-14,4.3487e-14,1.4903e-09,2.9237e-11,1.6187e-11,2.3528e-11
512,1,1,90525000.0,90525000.0,90525000.0,6.9086e-16,1.2816e-13,1.0503e-14,9.5015e+35,8.8651e-13,3.6896e-14
512,2,1,90525000.0,90525000.0,90525000.0,8.1126e-16,3.3684e-07,5.6549e-14,2.9058e-13,2.2739e-07,4.993e-14
512,3,4,90525000.0,90525000.0,90525000.0,1.3099e-15,1.6497e-12,8.6286e-14,1.3339e+182,4.5025e-14,1.6064e-11
512,128,128,90525000.0,90525000.0,90525000.0,2.1925e-14,6.4201e-12,3.2247e-09,3.3766e-05,1.0644e-11,3.9018e-10
512,256,256,90525000.0,90525000.0,90525000.0,3.2913e-14,1.1799e-13,1.0885e-08,2.5413e-09,1.1557e-11,2.8383e-10
1000,1,1,670663000.0,670663000.0,670663000.0,1.2345e-15,3.3339e-13,1.2772e-14,2.1884e+45,1.574e-13,5.4145e-12
1000,2,1,670663000.0,670663000.0,670663000.0,1.2922e-15,1.0086e-10,1.5037e-13,6.4108e-10,3.8938e-10,1.2433e-13
1000,3,4,670663000.0,670663000.0,670663000.0,2.4379e-15,3.1209e-12,6.826e-13,0.0001498,9.6538e-12,3.7392e-10
1000,500,500,670663000.0,670663000.0,670663000.0,8.3474e-14,2.8828e-13,2.2721e-10,2.5202e-10,1.8373e-11,2.4009e-10
